user_id,recipe_id,rating
suparna@123,R_2,0.85
suparna@123,R_3,0.76
suparna@123,R_9,0.76
suparna@123,R_11,0.76
suparna@123,R_7,0.75
aditi@456,R_3,0.85
aditi@456,R_11,0.85
aditi@456,R_9,0.85
aditi@456,R_7,0.83
aditi@456,R_12,0.77
chefMaster,R_2,0.85
chefMaster,R_3,0.76
chefMaster,R_9,0.76
chefMaster,R_11,0.76
chefMaster,R_7,0.75
gordon@ramsay,R_3,1.0
gordon@ramsay,R_9,1.0
gordon@ramsay,R_11,1.0
gordon@ramsay,R_7,1.0
gordon@ramsay,R_12,1.0
tArLaDaLaL,R_2,0.54
tArLaDaLaL,R_1,0.46
tArLaDaLaL,R_4,0.46
tArLaDaLaL,R_14,0.46
tArLaDaLaL,R_33,0.39
yumCook123,R_2,0.53
yumCook123,R_1,0.46
yumCook123,R_4,0.46
yumCook123,R_14,0.46
yumCook123,R_8,0.45
food4lyf,R_1,0.54
food4lyf,R_2,0.54
food4lyf,R_33,0.47
food4lyf,R_6,0.46
food4lyf,R_23,0.46
burpista@89,R_2,0.54
burpista@89,R_1,0.46
burpista@89,R_4,0.46
burpista@89,R_14,0.46
burpista@89,R_33,0.39
foodLover123,R_29,1.0
foodLover123,R_36,1.0
foodLover123,R_40,1.0
foodLover123,R_31,1.0
foodLover123,R_33,1.0
kaapiLover57,R_29,1.0
kaapiLover57,R_36,1.0
kaapiLover57,R_40,1.0
kaapiLover57,R_31,1.0
kaapiLover57,R_33,1.0
delishrelish564,R_29,1.0
delishrelish564,R_36,1.0
delishrelish564,R_40,1.0
delishrelish564,R_31,1.0
delishrelish564,R_33,1.0
marcoPierre,R_29,1.0
marcoPierre,R_36,1.0
marcoPierre,R_40,1.0
marcoPierre,R_31,1.0
marcoPierre,R_33,1.0
g0rgeMehigan,R_5,0.46
g0rgeMehigan,R_15,0.46
g0rgeMehigan,R_16,0.46
g0rgeMehigan,R_17,0.46
g0rgeMehigan,R_18,0.46
sanjayKapoor2004,R_23,1.0
sanjayKapoor2004,R_27,1.0
sanjayKapoor2004,R_32,1.0
sanjayKapoor2004,R_38,1.0
sanjayKapoor2004,R_24,1.0
sihikahi34,R_23,1.0
sihikahi34,R_27,1.0
sihikahi34,R_32,1.0
sihikahi34,R_38,1.0
sihikahi34,R_24,1.0
emptyPlate45,R_10,1.0
emptyPlate45,R_13,1.0
emptyPlate45,R_15,1.0
emptyPlate45,R_16,1.0
emptyPlate45,R_17,1.0
I<3Food,R_23,1.0
I<3Food,R_27,1.0
I<3Food,R_32,1.0
I<3Food,R_38,1.0
I<3Food,R_24,1.0
gourmetGal,R_23,1.0
gourmetGal,R_27,1.0
gourmetGal,R_32,1.0
gourmetGal,R_38,1.0
gourmetGal,R_24,1.0
remy&Linguini,R_23,1.0
remy&Linguini,R_27,1.0
remy&Linguini,R_32,1.0
remy&Linguini,R_38,1.0
remy&Linguini,R_24,1.0
